product_id,product_name,category,brand,price
1,Anarkali Suit - Royal Blue,Ethnic Wear,Bombay Trendz,7499
2,Banarasi Silk Saree,Ethnic Wear,Bombay Trendz,8999
3,Lehenga Choli - Bridal Red,Ethnic Wear,Bombay Trendz,5999
4,Salwar Kameez - Floral Print,Ethnic Wear,Bombay Trendz,3999
5,Kurta Set - Cream Linen,Ethnic Wear,FabIndia,2499
6,Bandhani Dupatta,Ethnic Wear,Bombay Trendz,1999
7,Palazzo Set - Printed,Ethnic Wear,Global Desi,2699
8,Phulkari Suit,Ethnic Wear,Bombay Trendz,3299
9,Mirror Work Blouse,Ethnic Wear,Bombay Trendz,1999
10,Chikankari Kurti,Ethnic Wear,FabIndia,2299
11,Chanderi Silk Saree,Ethnic Wear,Bombay Trendz,4499
12,Ikat Dress - Handloom,Ethnic Wear,Bombay Trendz,2799
13,Sharara Set - Gold,Ethnic Wear,Global Desi,3599
14,Kalamkari Kurti,Ethnic Wear,FabIndia,2099
15,Gota Patti Lehenga,Ethnic Wear,Bombay Trendz,9999
16,Cotton Anarkali - Teal,Ethnic Wear,Bombay Trendz,2599
17,Zari Embroidered Saree,Ethnic Wear,Bombay Trendz,5299
18,Tie-Dye Kurta,Ethnic Wear,FabIndia,1999
19,Digital Print Kurti,Ethnic Wear,Global Desi,2199
20,Block Print Salwar,Ethnic Wear,Bombay Trendz,2199
21,Floral Midi Dress,Casual Wear,Bombay Trendz,2299
22,Denim Jacket - Classic Blue,Casual Wear,Levis,3499
23,Cotton Crop Top - White,Casual Wear,H&M,1999
24,High-Rise Jeans,Casual Wear,Levis,2999
25,Striped T-Shirt,Casual Wear,Zara,1999
26,Linen Trousers - Beige,Casual Wear,Bombay Trendz,2399
27,Wrap Maxi Dress,Casual Wear,Zara,2799
28,Oversized Hoodie,Casual Wear,H&M,2199
29,Pleated Skirt - Mint,Casual Wear,Bombay Trendz,2299
30,Chambray Shirt,Casual Wear,Levis,2299
31,Printed Co-ord Set,Casual Wear,Bombay Trendz,2599
32,Palazzo Pants - Navy,Casual Wear,Zara,2099
33,Off-Shoulder Top,Casual Wear,H&M,1999
34,Cargo Joggers,Casual Wear,Bombay Trendz,2199
35,Rib-Knit Cardigan,Casual Wear,Zara,2699
36,Tie-Front Blouse,Casual Wear,Bombay Trendz,1999
37,Boyfriend Jeans,Casual Wear,Levis,2899
38,Spaghetti Strap Dress,Casual Wear,H&M,1999
39,Sweatshirt - Dusty Rose,Casual Wear,Bombay Trendz,2099
40,Printed Shorts,Casual Wear,Zara,1999
41,Oxidised Silver Jhumkas,Accessories,Bombay Trendz,1699
42,Kundan Choker Necklace,Accessories,Bombay Trendz,2299
43,Pearl Drop Earrings,Accessories,Bombay Trendz,1999
44,Beaded Bracelet Set,Accessories,Bombay Trendz,1899
45,Potli Bag - Embroidered,Accessories,Bombay Trendz,1999
46,Leather Tote - Tan,Accessories,Hidesign,3999
47,Silk Scarf - Paisley,Accessories,Bombay Trendz,1799
48,Wooden Bangles - Set of 6,Accessories,Bombay Trendz,1449
49,Meenakari Studs,Accessories,Bombay Trendz,1749
50,Clutch Bag - Gold,Accessories,Bombay Trendz,2199
51,Temple Jewellery Set,Accessories,Bombay Trendz,2799
52,Fabric Headband - Printed,Accessories,Bombay Trendz,1349
53,Pashmina Stole - Grey,Accessories,Bombay Trendz,2499
54,Anklet - Silver,Accessories,Bombay Trendz,1499
55,Embroidered Belt,Accessories,Bombay Trendz,1799
56,Jute Tote Bag,Accessories,Bombay Trendz,1549
57,Hair Clip Set,Accessories,Bombay Trendz,1299
58,Cuff Bracelet - Brass,Accessories,Bombay Trendz,1749
59,Layered Chain Necklace,Accessories,Bombay Trendz,1899
60,Tassel Earrings - Multi,Accessories,Bombay Trendz,1649
